Benchmark, O0, O1, O2, O3
BenchMarkishTopics, 0.00, 0.00, 0.00, 0.00
bert, 0.00, 0.00, 0.00, 0.00
biggest, 0.00, 0.00, 0.00, 0.00
binaryConverter, 39.09, 0.00, 0.00, 0.00
creativeBenchMarkName, 44.75, 0.00, 0.00, 0.00
fact_sum, 0.00, 0.01, 0.00, 0.00
Fibonacci, 48.24, 22.68, 15.08, 8.11
GeneralFunctAndOptimize, 12.02, 3.78, 3.73, 2.08
hailstone, 0.00, 0.00, 0.00, 0.00
hanoi_benchmark, 112.89, 43.08, 39.01, 46.55
killerBubbles, 57.03, 22.70, 18.30, 18.29
mile1, 0.32, 0.12, 0.10, 0.10
mixed, 18.68, 5.88, 5.82, 5.71
OptimizationBenchmark, 0.42, 0.00, 0.00, 0.00
primes, 3.64, 1.15, 1.15, 1.14
programBreaker, 0.04, 0.04, 0.02, 0.02
stats, 0.00, 0.00, 0.00, 0.00
TicTac, 0.00, 0.00, 0.00, 0.00
uncreativeBenchmark, 0.00, 0.00, 0.00, 0.00
wasteOfCycles, 0.00, 0.00, 0.00, 0.00
